"year","district","primary_type","arrests"
2009,22,"PROSTITUTION",33
2008,NA,"NARCOTICS",1
2015,4,"PUBLIC INDECENCY",2
2008,5,"HOMICIDE",13
2019,5,"PUBLIC INDECENCY",1
2008,5,"INTIMIDATION",3
2003,5,"STALKING",4
2016,5,"STALKING",2
2006,5,"STALKING",1
2007,5,"ARSON",6
2006,5,"ARSON",9
2012,5,"LIQUOR LAW VIOLATION",9
2002,5,"LIQUOR LAW VIOLATION",14
2013,5,"ARSON",3
2007,5,"HOMICIDE",17
2018,5,"ARSON",1
2017,5,"LIQUOR LAW VIOLATION",2
2010,5,"LIQUOR LAW VIOLATION",8
2016,5,"OFFENSE INVOLVING CHILDREN",11
2017,8,"CONCEALED CARRY LICENSE VIOLATION",16
2011,8,"OFFENSE INVOLVING CHILDREN",40
2016,8,"CONCEALED CARRY LICENSE VIOLATION",9
2019,8,"CONCEALED CARRY LICENSE VIOLATION",27
2019,8,"PROSTITUTION",44
2003,8,"HOMICIDE",20
2004,8,"INTERFERENCE WITH PUBLIC OFFICER",21
2017,8,"DECEPTIVE PRACTICE",44
2017,8,"PUBLIC PEACE VIOLATION",58
2015,8,"LIQUOR LAW VIOLATION",11
2016,8,"SEX OFFENSE",7
2018,8,"CONCEALED CARRY LICENSE VIOLATION",22
2009,8,"CRIM SEXUAL ASSAULT",17
2014,8,"HOMICIDE",19
2003,8,"PUBLIC PEACE VIOLATION",59
2015,8,"PROSTITUTION",60
2008,8,"GAMBLING",46
2003,8,"STALKING",3
2012,8,"GAMBLING",31
2009,8,"SEX OFFENSE",31
2010,8,"STALKING",3
2002,8,"INTERFERENCE WITH PUBLIC OFFICER",9
2016,8,"OFFENSE INVOLVING CHILDREN",22
2006,8,"SEX OFFENSE",46
2019,8,"INTERFERENCE WITH PUBLIC OFFICER",52
2010,8,"INTERFERENCE WITH PUBLIC OFFICER",40
2013,8,"ARSON",7
2012,8,"HOMICIDE",10
2019,8,"OFFENSE INVOLVING CHILDREN",23
2017,8,"OTHER NARCOTIC VIOLATION",1
2012,8,"CRIM SEXUAL ASSAULT",22
2014,8,"LIQUOR LAW VIOLATION",18
2014,8,"OFFENSE INVOLVING CHILDREN",38
2010,8,"CRIM SEXUAL ASSAULT",15
2004,8,"INTIMIDATION",3
2018,8,"CRIM SEXUAL ASSAULT",7
2009,8,"INTERFERENCE WITH PUBLIC OFFICER",27
2011,8,"BURGLARY",130
2018,8,"MOTOR VEHICLE THEFT",59
2016,8,"PROSTITUTION",22
2017,9,"OBSCENITY",4
2013,9,"PROSTITUTION",115
2016,9,"HOMICIDE",27
2011,9,"HOMICIDE",7
2017,9,"HOMICIDE",17
2008,9,"PROSTITUTION",400
2017,9,"INTERFERENCE WITH PUBLIC OFFICER",63
2005,8,"LIQUOR LAW VIOLATION",46
2010,9,"LIQUOR LAW VIOLATION",58
2017,9,"SEX OFFENSE",13
2017,9,"LIQUOR LAW VIOLATION",18
2011,9,"PROSTITUTION",182
2013,9,"LIQUOR LAW VIOLATION",42
2013,8,"INTERFERENCE WITH PUBLIC OFFICER",63
2015,8,"KIDNAPPING",3
2003,9,"KIDNAPPING",6
2016,9,"OFFENSE INVOLVING CHILDREN",18
2015,9,"INTERFERENCE WITH PUBLIC OFFICER",59
2011,9,"LIQUOR LAW VIOLATION",28
2018,9,"PROSTITUTION",9
2003,9,"HOMICIDE",28
2003,9,"OFFENSE INVOLVING CHILDREN",54
2005,9,"INTERFERENCE WITH PUBLIC OFFICER",10
2008,9,"HOMICIDE",14
2015,9,"PROSTITUTION",97
2015,9,"LIQUOR LAW VIOLATION",19
2009,9,"INTERFERENCE WITH PUBLIC OFFICER",33
2008,9,"CRIM SEXUAL ASSAULT",28
2010,9,"CRIM SEXUAL ASSAULT",17
2009,9,"INTIMIDATION",4
2016,9,"SEX OFFENSE",15
2011,9,"SEX OFFENSE",22
2018,9,"PUBLIC PEACE VIOLATION",21
2016,9,"LIQUOR LAW VIOLATION",16
2013,9,"OFFENSE INVOLVING CHILDREN",37
2014,9,"SEX OFFENSE",20
2013,9,"HOMICIDE",12
2012,9,"OBSCENITY",3
2011,9,"CRIM SEXUAL ASSAULT",15
2014,9,"OBSCENITY",2
2018,8,"LIQUOR LAW VIOLATION",12
2014,9,"BURGLARY",54
2019,9,"MOTOR VEHICLE THEFT",30
2014,9,"MOTOR VEHICLE THEFT",42
2012,9,"PROSTITUTION",55
2016,9,"PROSTITUTION",34
2017,9,"PROSTITUTION",19
2008,9,"KIDNAPPING",3
2011,9,"INTIMIDATION",4
2004,9,"HOMICIDE",14
2017,9,"ARSON",3
2015,9,"CRIM SEXUAL ASSAULT",10
2004,9,"ARSON",11
2016,9,"INTERFERENCE WITH PUBLIC OFFICER",49
2011,9,"ARSON",6
2011,9,"STALKING",3
2008,9,"OBSCENITY",3
2019,9,"CRIM SEXUAL ASSAULT",8
2002,9,"ARSON",14
2014,9,"PROSTITUTION",20
2014,9,"ARSON",2
2014,9,"STALKING",1
2005,9,"CRIM SEXUAL ASSAULT",21
2011,9,"GAMBLING",46
2012,9,"HOMICIDE",15
2015,9,"HOMICIDE",11
2019,9,"HOMICIDE",3
2018,9,"OBSCENITY",1
2018,9,"HOMICIDE",13
2010,9,"GAMBLING",27
2019,9,"SEX OFFENSE",6
2009,9,"HOMICIDE",9
2002,9,"INTIMIDATION",4
2007,9,"ARSON",11
2016,9,"CRIM SEXUAL ASSAULT",12
2017,9,"CRIM SEXUAL ASSAULT",8
2010,9,"HOMICIDE",16
2007,9,"CRIM SEXUAL ASSAULT",10
2013,9,"GAMBLING",8
2003,9,"PUBLIC INDECENCY",1
2006,9,"KIDNAPPING",5
2008,9,"STALKING",1
2013,9,"CRIM SEXUAL ASSAULT",8
2008,9,"ARSON",2
2004,9,"INTERFERENCE WITH PUBLIC OFFICER",21
2005,9,"HOMICIDE",11
2012,9,"PUBLIC INDECENCY",2
2014,9,"GAMBLING",9
2009,9,"OBSCENITY",3
2004,7,"NARCOTICS",4543
2005,8,"INTERFERENCE WITH PUBLIC OFFICER",35
2008,8,"CRIM SEXUAL ASSAULT",20
2018,8,"OFFENSE INVOLVING CHILDREN",15
2003,8,"KIDNAPPING",2
2017,8,"GAMBLING",17
2009,8,"HOMICIDE",14
2006,9,"STALKING",2
2013,8,"OFFENSE INVOLVING CHILDREN",36
2018,8,"HOMICIDE",14
2007,8,"STALKING",5
2005,8,"CRIM SEXUAL ASSAULT",17
2016,9,"INTIMIDATION",3
2014,8,"CRIM SEXUAL ASSAULT",17
2014,8,"GAMBLING",23
2006,8,"KIDNAPPING",4
2018,8,"OBSCENITY",9
2019,8,"SEX OFFENSE",11
2008,8,"HOMICIDE",13
2016,8,"LIQUOR LAW VIOLATION",12
2015,8,"OFFENSE INVOLVING CHILDREN",25
2016,8,"CRIM SEXUAL ASSAULT",11
2013,8,"KIDNAPPING",8
2003,8,"GAMBLING",60
2004,8,"STALKING",5
2002,8,"INTIMIDATION",3
2009,8,"STALKING",1
2015,8,"ARSON",4
2016,8,"OBSCENITY",4
2007,8,"CRIM SEXUAL ASSAULT",17
2010,8,"KIDNAPPING",2
2013,8,"GAMBLING",25
2011,8,"HOMICIDE",8
2012,8,"ARSON",4
2004,8,"HOMICIDE",15
2009,8,"ARSON",4
2014,8,"OBSCENITY",2
2016,8,"GAMBLING",17
2003,8,"ARSON",6
2011,8,"ARSON",3
2003,8,"INTIMIDATION",6
2017,8,"CRIM SEXUAL ASSAULT",12
2017,8,"STALKING",1
2019,8,"GAMBLING",13
2012,8,"KIDNAPPING",1
2018,8,"ARSON",1
2015,7,"CRIMINAL TRESPASS",249
2015,7,"OTHER OFFENSE",667
2015,7,"NARCOTICS",2155
2015,7,"GAMBLING",77
2015,7,"PUBLIC PEACE VIOLATION",140
2015,7,"WEAPONS VIOLATION",310
2016,7,"OTHER OFFENSE",410
2016,7,"PUBLIC PEACE VIOLATION",96
2016,7,"NARCOTICS",1046
2016,7,"MOTOR VEHICLE THEFT",60
2017,7,"PUBLIC PEACE VIOLATION",90
2017,7,"NARCOTICS",865
2018,7,"NARCOTICS",931
2018,7,"INTERFERENCE WITH PUBLIC OFFICER",114
2018,7,"OTHER OFFENSE",373
2003,7,"NARCOTICS",3651
2003,7,"CRIM SEXUAL ASSAULT",27
2003,7,"BATTERY",1347
2003,7,"OTHER OFFENSE",369
2004,7,"BATTERY",1509
2004,7,"GAMBLING",144
2004,7,"ASSAULT",524
2004,7,"OFFENSE INVOLVING CHILDREN",56
2005,7,"ASSAULT",464
2005,7,"NARCOTICS",4056
2005,7,"CRIMINAL TRESPASS",366
2005,7,"PUBLIC PEACE VIOLATION",49
2005,7,"WEAPONS VIOLATION",339
2006,7,"ROBBERY",93
2006,7,"MOTOR VEHICLE THEFT",151
2006,7,"NARCOTICS",3970
2006,7,"BATTERY",1271
2007,7,"OTHER OFFENSE",224
2007,7,"GAMBLING",142
2007,7,"BATTERY",1271
2007,7,"NARCOTICS",3721
2008,7,"NARCOTICS",3666
2008,7,"BATTERY",856
2008,7,"CRIMINAL TRESPASS",325
2009,7,"NARCOTICS",2904
2009,7,"ROBBERY",94
2010,7,"NARCOTICS",3127
2011,7,"OTHER OFFENSE",214
2011,7,"DECEPTIVE PRACTICE",103
2011,7,"INTERFERENCE WITH PUBLIC OFFICER",77
2011,7,"NARCOTICS",2554
2012,7,"ASSAULT",306
2012,7,"PUBLIC PEACE VIOLATION",212
2012,7,"BATTERY",758
2013,7,"GAMBLING",92
2013,7,"NARCOTICS",2049
2019,7,"INTERFERENCE WITH PUBLIC OFFICER",122
2019,7,"NARCOTICS",751
2019,7,"PROSTITUTION",54
2019,7,"OTHER OFFENSE",338
2016,7,"BATTERY",676
2017,7,"WEAPONS VIOLATION",426
2017,7,"OTHER OFFENSE",357
2018,7,"PUBLIC PEACE VIOLATION",68
2018,7,"BATTERY",671
2019,7,"BATTERY",663
2003,7,"ASSAULT",478
2004,7,"DECEPTIVE PRACTICE",113
2005,7,"OTHER OFFENSE",339
2005,7,"OFFENSE INVOLVING CHILDREN",43
2005,7,"PROSTITUTION",217
2008,7,"HOMICIDE",28
2007,7,"LIQUOR LAW VIOLATION",29
2007,7,"OFFENSE INVOLVING CHILDREN",43
2008,7,"OFFENSE INVOLVING CHILDREN",40
2008,7,"OTHER OFFENSE",240
2009,7,"OFFENSE INVOLVING CHILDREN",28
2009,7,"BATTERY",803
2009,7,"WEAPONS VIOLATION",366
2009,7,"OTHER OFFENSE",238
2009,7,"GAMBLING",58
2010,7,"LIQUOR LAW VIOLATION",9
2010,7,"BATTERY",743
2010,7,"DECEPTIVE PRACTICE",65
2010,7,"THEFT",237
2011,7,"PUBLIC PEACE VIOLATION",139
2012,7,"NARCOTICS",2562
2012,7,"PROSTITUTION",312
2012,7,"GAMBLING",123
2013,7,"WEAPONS VIOLATION",289
2013,7,"DECEPTIVE PRACTICE",151
2015,7,"BATTERY",738
2016,7,"INTERFERENCE WITH PUBLIC OFFICER",101
2017,7,"ASSAULT",244
2017,7,"DECEPTIVE PRACTICE",36
2017,7,"ROBBERY",36
2017,7,"OFFENSE INVOLVING CHILDREN",21
2017,7,"INTERFERENCE WITH PUBLIC OFFICER",108
2003,7,"MOTOR VEHICLE THEFT",209
2003,7,"GAMBLING",134
2003,7,"PROSTITUTION",159
2004,7,"SEX OFFENSE",24
2004,7,"WEAPONS VIOLATION",329
2006,7,"HOMICIDE",15
2005,7,"GAMBLING",101
2005,7,"DECEPTIVE PRACTICE",81
2005,7,"BATTERY",1464
2006,7,"GAMBLING",149
2006,7,"ASSAULT",450
2006,7,"CRIMINAL TRESPASS",312
2007,7,"CRIMINAL DAMAGE",173
2007,7,"ROBBERY",90
2010,7,"PUBLIC PEACE VIOLATION",168
2010,7,"CRIMINAL TRESPASS",397
2011,7,"ASSAULT",346
2012,7,"DECEPTIVE PRACTICE",197
2013,7,"PUBLIC PEACE VIOLATION",185
2017,7,"BATTERY",608
2018,7,"WEAPONS VIOLATION",522
2012,7,"HOMICIDE",15
2014,7,"HOMICIDE",18
2015,7,"HOMICIDE",14
2003,7,"OFFENSE INVOLVING CHILDREN",60
2004,7,"PROSTITUTION",489
2004,7,"STALKING",1
2004,7,"MOTOR VEHICLE THEFT",167
2004,7,"LIQUOR LAW VIOLATION",39
2005,7,"INTERFERENCE WITH PUBLIC OFFICER",55
2006,7,"WEAPONS VIOLATION",280
2006,7,"LIQUOR LAW VIOLATION",47
2006,7,"OTHER OFFENSE",244
2008,7,"ROBBERY",94
2008,7,"GAMBLING",91
2008,7,"INTERFERENCE WITH PUBLIC OFFICER",28
2009,7,"THEFT",320
2009,7,"CRIMINAL TRESPASS",392
2010,7,"OTHER OFFENSE",187
2010,7,"ASSAULT",300
2014,7,"NARCOTICS",1899
2014,7,"WEAPONS VIOLATION",311
2014,7,"PUBLIC PEACE VIOLATION",179
2017,7,"CRIMINAL TRESPASS",217
2018,7,"GAMBLING",11
2019,7,"DECEPTIVE PRACTICE",29
2003,7,"CRIMINAL DAMAGE",235
2004,7,"INTERFERENCE WITH PUBLIC OFFICER",56
2005,7,"MOTOR VEHICLE THEFT",145
2007,7,"THEFT",339
2007,7,"ASSAULT",409
2008,7,"DECEPTIVE PRACTICE",73
2008,7,"LIQUOR LAW VIOLATION",31
2010,7,"GAMBLING",77
2013,7,"OTHER OFFENSE",200
2013,7,"ASSAULT",302
2015,7,"INTERFERENCE WITH PUBLIC OFFICER",141
2015,7,"ASSAULT",280
2016,7,"ASSAULT",255
2019,7,"OFFENSE INVOLVING CHILDREN",25
2003,7,"INTERFERENCE WITH PUBLIC OFFICER",35
2004,7,"OTHER OFFENSE",464
2005,7,"LIQUOR LAW VIOLATION",37
2005,7,"SEX OFFENSE",30
2006,7,"DECEPTIVE PRACTICE",60
2007,7,"DECEPTIVE PRACTICE",63
2008,7,"PUBLIC PEACE VIOLATION",69
2011,7,"BATTERY",775
2011,7,"PROSTITUTION",236
2012,7,"OTHER OFFENSE",164
2019,7,"WEAPONS VIOLATION",516
2017,7,"PROSTITUTION",162
2004,7,"CRIM SEXUAL ASSAULT",36
2004,7,"PUBLIC PEACE VIOLATION",49
2006,7,"INTERFERENCE WITH PUBLIC OFFICER",57
2007,7,"PROSTITUTION",411
2008,7,"SEX OFFENSE",27
2009,7,"ASSAULT",292
2010,7,"INTERFERENCE WITH PUBLIC OFFICER",48
2016,7,"WEAPONS VIOLATION",281
2003,7,"DECEPTIVE PRACTICE",86
2006,7,"PROSTITUTION",446
2006,7,"PUBLIC PEACE VIOLATION",40
2009,7,"SEX OFFENSE",17
2009,7,"PUBLIC PEACE VIOLATION",117
2019,7,"ASSAULT",261
2018,7,"CONCEALED CARRY LICENSE VIOLATION",29
2019,7,"ROBBERY",23
2004,7,"CRIMINAL TRESPASS",426
2007,7,"HOMICIDE",22
2006,7,"CRIM SEXUAL ASSAULT",16
2007,7,"MOTOR VEHICLE THEFT",108
2007,7,"SEX OFFENSE",20
2008,7,"CRIMINAL DAMAGE",164
2009,7,"MOTOR VEHICLE THEFT",119
2009,7,"LIQUOR LAW VIOLATION",15
2009,7,"PROSTITUTION",390
2010,7,"BURGLARY",127
2011,7,"GAMBLING",98
2012,7,"WEAPONS VIOLATION",381
2012,7,"INTERFERENCE WITH PUBLIC OFFICER",110
2019,7,"CONCEALED CARRY LICENSE VIOLATION",22
2009,7,"HOMICIDE",17
2004,7,"HOMICIDE",27
2003,7,"PUBLIC PEACE VIOLATION",41
2004,7,"INTIMIDATION",10
2005,7,"CRIMINAL DAMAGE",228
2007,7,"INTERFERENCE WITH PUBLIC OFFICER",41
2013,7,"BATTERY",842
2014,7,"INTERFERENCE WITH PUBLIC OFFICER",122
2014,7,"ASSAULT",340
2014,7,"CRIMINAL TRESPASS",294
2014,7,"DECEPTIVE PRACTICE",130
2018,7,"OFFENSE INVOLVING CHILDREN",22
2003,7,"WEAPONS VIOLATION",289
2004,7,"ROBBERY",72
2008,7,"ASSAULT",304
2009,7,"BURGLARY",104
2010,7,"OFFENSE INVOLVING CHILDREN",34
2013,7,"CRIM SEXUAL ASSAULT",10
2014,7,"THEFT",199
2015,7,"CRIM SEXUAL ASSAULT",9
2019,7,"PUBLIC PEACE VIOLATION",58
2005,7,"ROBBERY",79
2008,7,"MOTOR VEHICLE THEFT",118
2009,7,"INTERFERENCE WITH PUBLIC OFFICER",27
2018,7,"ASSAULT",228
2018,7,"DECEPTIVE PRACTICE",53
2005,7,"BURGLARY",110
2010,7,"CRIM SEXUAL ASSAULT",24
2015,7,"SEX OFFENSE",9
2018,7,"CRIMINAL TRESPASS",214
2003,7,"THEFT",293
2007,7,"WEAPONS VIOLATION",269
2008,7,"PROSTITUTION",443
2011,7,"WEAPONS VIOLATION",383
2013,7,"OFFENSE INVOLVING CHILDREN",23
2015,7,"PROSTITUTION",175
2003,7,"CRIMINAL TRESPASS",265
2007,7,"CRIMINAL TRESPASS",353
2009,7,"DECEPTIVE PRACTICE",69
2010,7,"PROSTITUTION",164
2010,7,"CRIMINAL DAMAGE",132
2011,7,"CRIM SEXUAL ASSAULT",16
2016,7,"CRIMINAL TRESPASS",261
2011,7,"SEX OFFENSE",11
2016,7,"DECEPTIVE PRACTICE",25
2011,7,"HOMICIDE",23
2003,7,"LIQUOR LAW VIOLATION",26
2006,7,"OFFENSE INVOLVING CHILDREN",43
2010,7,"WEAPONS VIOLATION",279
2010,7,"MOTOR VEHICLE THEFT",81
2011,7,"OFFENSE INVOLVING CHILDREN",30
2012,7,"CRIMINAL TRESPASS",459
2016,7,"ROBBERY",40
2010,7,"HOMICIDE",13
2018,7,"HOMICIDE",15
2004,7,"ARSON",8
2008,7,"CRIM SEXUAL ASSAULT",14
2017,7,"MOTOR VEHICLE THEFT",31
2013,7,"HOMICIDE",19
2007,7,"PUBLIC PEACE VIOLATION",50
2013,7,"CRIMINAL TRESPASS",470
2013,7,"SEX OFFENSE",18
2008,7,"WEAPONS VIOLATION",280
2012,7,"SEX OFFENSE",11
2003,7,"SEX OFFENSE",20
2011,7,"CRIMINAL TRESPASS",511
2013,7,"ROBBERY",67
2014,7,"OTHER OFFENSE",226
2014,7,"BATTERY",803
2014,7,"GAMBLING",40
2003,7,"ROBBERY",95
2007,7,"ARSON",7
2012,7,"BURGLARY",107
2019,7,"SEX OFFENSE",9
2006,7,"BURGLARY",143
2011,7,"INTIMIDATION",1
2013,7,"MOTOR VEHICLE THEFT",57
2013,7,"INTERFERENCE WITH PUBLIC OFFICER",127
2019,7,"GAMBLING",5
2015,7,"ROBBERY",57
2016,7,"BURGLARY",31
2012,7,"KIDNAPPING",3
2013,7,"CRIMINAL DAMAGE",121
2015,7,"THEFT",151
2017,7,"SEX OFFENSE",8
2019,7,"CRIMINAL TRESPASS",156
2015,7,"OFFENSE INVOLVING CHILDREN",18
2004,7,"CRIMINAL DAMAGE",240
2016,7,"GAMBLING",35
2005,7,"CRIM SEXUAL ASSAULT",15
2011,7,"LIQUOR LAW VIOLATION",12
2006,7,"CRIMINAL DAMAGE",212
2011,7,"MOTOR VEHICLE THEFT",66
2012,7,"ROBBERY",76
2005,7,"HOMICIDE",17
2011,7,"ROBBERY",61
2015,7,"DECEPTIVE PRACTICE",76
2009,7,"CRIMINAL DAMAGE",162
2017,7,"HOMICIDE",12
2009,7,"CRIM SEXUAL ASSAULT",24
2012,7,"MOTOR VEHICLE THEFT",35
2013,7,"PROSTITUTION",120
2019,7,"HOMICIDE",9
2015,7,"BURGLARY",41
2010,7,"ARSON",5
2008,7,"ARSON",6
2016,7,"HOMICIDE",32
2003,7,"BURGLARY",108
2003,6,"OBSCENITY",1
2012,7,"CRIM SEXUAL ASSAULT",12
2018,7,"INTIMIDATION",1
2003,7,"ARSON",8
2005,7,"THEFT",224
2005,7,"ARSON",10
2015,7,"LIQUOR LAW VIOLATION",7
2014,7,"MOTOR VEHICLE THEFT",56
2014,7,"SEX OFFENSE",11
2017,7,"BURGLARY",31
2018,7,"CRIM SEXUAL ASSAULT",8
2012,7,"CRIMINAL DAMAGE",145
2011,7,"ARSON",1
2015,7,"ARSON",3
2016,7,"LIQUOR LAW VIOLATION",3
2007,7,"STALKING",1
2008,7,"BURGLARY",115
2010,7,"OBSCENITY",2
2012,7,"LIQUOR LAW VIOLATION",15
2011,7,"THEFT",312
2012,7,"OFFENSE INVOLVING CHILDREN",16
2014,7,"ROBBERY",65
2016,7,"OFFENSE INVOLVING CHILDREN",19
2016,7,"SEX OFFENSE",9
2012,7,"THEFT",303
2014,7,"CRIM SEXUAL ASSAULT",6
2014,7,"OFFENSE INVOLVING CHILDREN",15
2010,7,"ROBBERY",62
2018,7,"ROBBERY",14
2007,7,"BURGLARY",101
2013,7,"BURGLARY",69
2004,7,"BURGLARY",111
2011,7,"BURGLARY",75
2014,7,"BURGLARY",41
2019,7,"BURGLARY",19
2018,7,"BURGLARY",16
2004,7,"THEFT",261
2008,7,"THEFT",239
2013,7,"THEFT",265
2006,7,"THEFT",270
2018,7,"THEFT",128
2017,7,"THEFT",135
2019,7,"THEFT",105
2016,7,"THEFT",117
2015,7,"MOTOR VEHICLE THEFT",80
2018,7,"MOTOR VEHICLE THEFT",17
2019,7,"MOTOR VEHICLE THEFT",12
2016,7,"CRIMINAL DAMAGE",103
2018,7,"CRIMINAL DAMAGE",103
2019,7,"CRIMINAL DAMAGE",96
2017,7,"CRIMINAL DAMAGE",103
2011,7,"CRIMINAL DAMAGE",140
2015,7,"CRIMINAL DAMAGE",143
2014,7,"CRIMINAL DAMAGE",108
2016,7,"PROSTITUTION",28
2018,7,"PROSTITUTION",35
2014,7,"PROSTITUTION",92
2004,7,"KIDNAPPING",8
2010,7,"SEX OFFENSE",7
2016,7,"ARSON",7
2007,7,"CRIM SEXUAL ASSAULT",23
2017,7,"GAMBLING",24
2018,7,"ARSON",5
2006,7,"SEX OFFENSE",22
2009,6,"ARSON",6
2016,7,"CONCEALED CARRY LICENSE VIOLATION",5
2018,7,"LIQUOR LAW VIOLATION",9
2013,2,"HOMICIDE",12
2008,2,"HOMICIDE",13
2017,7,"STALKING",1
2017,7,"OBSCENITY",4
2013,6,"GAMBLING",17
2009,7,"ARSON",2
2013,6,"HOMICIDE",16
2018,7,"STALKING",5
2019,7,"CRIM SEXUAL ASSAULT",5
2017,7,"LIQUOR LAW VIOLATION",2
2018,6,"HOMICIDE",10
2007,7,"KIDNAPPING",5
2017,7,"CRIM SEXUAL ASSAULT",10
2006,7,"ARSON",7
2011,7,"PUBLIC INDECENCY",1
2009,3,"CRIM SEXUAL ASSAULT",8
2019,6,"LIQUOR LAW VIOLATION",6
2015,6,"OBSCENITY",3
2016,31,"DECEPTIVE PRACTICE",9
2012,6,"SEX OFFENSE",7
2016,6,"HOMICIDE",12
2003,6,"KIDNAPPING",3
2015,6,"CRIM SEXUAL ASSAULT",6
2002,3,"INTERFERENCE WITH PUBLIC OFFICER",8
2019,6,"ARSON",3
2004,6,"ARSON",7
2005,3,"ARSON",4
2010,3,"INTIMIDATION",2
2012,3,"OBSCENITY",2
2018,3,"DECEPTIVE PRACTICE",17
2011,6,"ARSON",3
2018,3,"ARSON",2
2011,3,"LIQUOR LAW VIOLATION",6
2016,6,"LIQUOR LAW VIOLATION",2
2006,3,"KIDNAPPING",5
2007,3,"STALKING",2
2013,6,"KIDNAPPING",2
2005,8,"ARSON",7
2018,8,"GAMBLING",7
2013,8,"HOMICIDE",10
2013,8,"STALKING",2
2007,8,"INTIMIDATION",3
2008,8,"INTIMIDATION",2
2017,6,"SEX OFFENSE",3
2013,6,"HUMAN TRAFFICKING",1
2018,6,"PROSTITUTION",8
2006,22,"OFFENSE INVOLVING CHILDREN",13
2009,22,"DECEPTIVE PRACTICE",36
2018,6,"SEX OFFENSE",6
2012,22,"MOTOR VEHICLE THEFT",28
2003,22,"HOMICIDE",15
2005,6,"ARSON",3
2018,6,"CRIM SEXUAL ASSAULT",8
2006,22,"ARSON",6
2004,22,"INTERFERENCE WITH PUBLIC OFFICER",6
2017,6,"KIDNAPPING",1
2016,22,"LIQUOR LAW VIOLATION",3
2010,6,"ARSON",5
2018,22,"LIQUOR LAW VIOLATION",14
2016,22,"ARSON",3
2012,6,"ARSON",2
2007,22,"ARSON",2
2012,6,"HOMICIDE",12
2004,6,"INTIMIDATION",6
2006,6,"HOMICIDE",16
2006,22,"PUBLIC INDECENCY",1
2016,6,"PROSTITUTION",13
2007,22,"LIQUOR LAW VIOLATION",11
2010,22,"GAMBLING",29
2008,6,"INTIMIDATION",2
2017,22,"LIQUOR LAW VIOLATION",4
2015,6,"STALKING",2
2011,22,"GAMBLING",21
2012,22,"OFFENSE INVOLVING CHILDREN",8
2012,22,"INTERFERENCE WITH PUBLIC OFFICER",49
2016,6,"ARSON",3
2017,22,"OFFENSE INVOLVING CHILDREN",11
2005,22,"OFFENSE INVOLVING CHILDREN",18
2007,22,"INTERFERENCE WITH PUBLIC OFFICER",21
2019,22,"DECEPTIVE PRACTICE",20
2005,6,"KIDNAPPING",2
2008,22,"GAMBLING",33
2002,6,"STALKING",2
2010,22,"INTERFERENCE WITH PUBLIC OFFICER",17
2003,22,"INTERFERENCE WITH PUBLIC OFFICER",13
2009,22,"INTERFERENCE WITH PUBLIC OFFICER",16
2014,22,"OFFENSE INVOLVING CHILDREN",9
2014,22,"INTERFERENCE WITH PUBLIC OFFICER",35
2006,6,"KIDNAPPING",5
2014,6,"OBSCENITY",1
2008,22,"CRIM SEXUAL ASSAULT",7
2017,22,"PUBLIC PEACE VIOLATION",34
2009,22,"OBSCENITY",3
2004,22,"HOMICIDE",11
2011,22,"CRIMINAL DAMAGE",47
2007,22,"PROSTITUTION",11
2006,22,"PROSTITUTION",20
2017,6,"PROSTITUTION",13
2010,22,"MOTOR VEHICLE THEFT",14
2013,22,"OFFENSE INVOLVING CHILDREN",9
2008,NA,"WEAPONS VIOLATION",2
2004,22,"GAMBLING",25
2003,22,"PROSTITUTION",30
2006,22,"GAMBLING",31
2017,22,"DECEPTIVE PRACTICE",8
2002,22,"HOMICIDE",7
2004,22,"CRIM SEXUAL ASSAULT",7
2016,22,"OFFENSE INVOLVING CHILDREN",6
2005,22,"KIDNAPPING",2
2012,22,"CRIM SEXUAL ASSAULT",4
2004,22,"SEX OFFENSE",14
2006,22,"OBSCENITY",2
2012,22,"GAMBLING",16
2009,22,"SEX OFFENSE",10
2011,22,"DECEPTIVE PRACTICE",33
2007,22,"HOMICIDE",6
2018,22,"OFFENSE INVOLVING CHILDREN",9
2017,22,"OBSCENITY",1
2011,22,"ARSON",3
2006,22,"HOMICIDE",8
2017,22,"HOMICIDE",7
2004,22,"INTIMIDATION",2
2017,22,"KIDNAPPING",1
2018,22,"CRIM SEXUAL ASSAULT",7
2019,22,"STALKING",1
2015,22,"GAMBLING",9
2012,22,"SEX OFFENSE",6
2019,22,"GAMBLING",1
2001,22,"HOMICIDE",11
2018,22,"SEX OFFENSE",8
2009,22,"GAMBLING",20
2019,22,"INTIMIDATION",1
2013,22,"GAMBLING",14
2017,22,"CONCEALED CARRY LICENSE VIOLATION",1
2007,22,"CRIM SEXUAL ASSAULT",6
2019,22,"BURGLARY",26
2018,22,"MOTOR VEHICLE THEFT",18
2019,22,"MOTOR VEHICLE THEFT",16
2013,22,"PROSTITUTION",3
2008,22,"PROSTITUTION",12
2014,22,"PROSTITUTION",4
2013,22,"CRIM SEXUAL ASSAULT",10
2019,22,"CRIM SEXUAL ASSAULT",1
2005,22,"INTIMIDATION",2
2013,22,"HOMICIDE",6
2003,22,"KIDNAPPING",1
2018,22,"OBSCENITY",1
2011,22,"OFFENSE INVOLVING CHILDREN",6
2010,22,"INTIMIDATION",1
2005,22,"OBSCENITY",1
2017,22,"ARSON",2
2015,22,"INTIMIDATION",2
